text,label
"Claim your free vacation prize now",spam
"Team meeting moved to 10am tomorrow",ham
"Win a free phone by clicking this link",spam
"Can you review the project draft tonight",ham
"Urgent: verify your account to avoid suspension",spam
"Lunch at the cafeteria after class?",ham
"Lowest loan rates available now",spam
"Please submit your assignment before midnight",ham
"You have been selected for a cash reward",spam
"The lecture slides are uploaded to the portal",ham
"Exclusive offer just for you",spam
"Your package will arrive this afternoon",ham
"Limited time discount on premium membership",spam
"Can we reschedule our office hours?",ham
"Earn money from home with no experience",spam
"The exam room has changed to building C",ham
"Congratulations, you won a gift card",spam
"I shared the notes from today's seminar",ham
"Reset your password immediately",spam
"See you at the study group later",ham
